BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleComment
SAMN02402993	SAMN00115138	PRJNA47685	SRS116671	2	Antiqua	2004	China:Qinghai	Homo sapiens	32.23	32.23 96.47	96.47	KEEP: Assembly Modern Cui 2013
SAMN02402992	SAMN00115137	PRJNA47685	SRS116670	164	Antiqua	1985	China:Xinjiang	Oropsylla silantiewi	39	39 88.1	88.1	KEEP: Assembly Modern Cui 2013
SAMN02402991	SAMN00115135	PRJNA47685	SRS116668	12	Antiqua	2004	China:Qinghai	Homo sapiens	38.2	38.2 100.22	100.22	KEEP: Assembly Modern Cui 2013
SAMN02402990		PRJNA167473		2501		2005	China:Xinjiang:Junggar Basin	Rhombomys opimus				KEEP: Assembly Modern
SAMN01991280		PRJNA194125	SRS429134	AS200901509		2009	USA: NM	prairie dog				KEEP: EAGER Modern
SAMN01991278		PRJNA194125	SRS429131	V-6486			USA: NM	Llama				KEEP: EAGER Modern
SAMN01991277		PRJNA194125	SRS429130	AS 200900596		2009	USA	rabbit				KEEP: EAGER Modern
SAMN01991276		PRJNA194125	SRS429128	AS 2509		2004	USA: NM	Rodent				KEEP: EAGER Modern
SAMN01991275		PRJNA194125	SRS429129	3357		1999	USA: NM	mountain lion				KEEP: EAGER Modern
SAMN01991274		PRJNA194125	SRS429127	2772		1984	USA: NM	Cat				KEEP: EAGER Modern
SAMN01991265		PRJNA194125	SRS424549	KUMA (D11)			China: Manchuria					KEEP: EAGER Modern
SAMN01991263		PRJNA194125	SRS424551	8607116			USA: NM	Dog				KEEP: EAGER Modern
SAMN01991262		PRJNA194125	SRS424552	1866			USA: NM	Squirrel				KEEP: EAGER Modern
SAMN01991261		PRJNA194125	SRS424553	4139		1995	USA: NM	cat				KEEP: EAGER Modern
SAMN01902219		PRJNA38409	SRS388211	G1670E		1950-2000	Georgia					KEEP: Assembly Modern
SAMN02141505	SAMN00704255	PRJNA64395	SRS256169	PY-103		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	southern opossum		missing		KEEP: Assembly Modern
SAMN02141504	SAMN00704256	PRJNA64393	SRS256170	PY-102		2010	Peru:La Libertad:Ascope, Chicama, Sausal	southern opossum		missing		KEEP: Assembly Modern
SAMN02141502	SAMN00704253	PRJNA64389	SRS256167	PY-100		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	Norway rat		missing		KEEP: Assembly Modern
SAMN02141501	SAMN00706783	PRJNA64387	SRS256247	PY-99		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	Norway rat		missing		KEEP: Assembly Modern
SAMN02141499	SAMN00706754	PRJNA64383	SRS256218	PY-96		2010	Peru:La Libertad:Ascope, Chicama, Sausal	dog		missing		KEEP: Assembly Modern
SAMN02141498	SAMN00706753	PRJNA64381	SRS256217	PY-95		2010	Peru:Cajamarca:Chota	black rat		missing		KEEP: Assembly Modern
SAMN02141497	SAMN00706752	PRJNA64379	SRS256216	PY-94		2010	Peru:Cajamarca:Chota	black rat		missing		KEEP: Assembly Modern
SAMN02141496	SAMN00706751	PRJNA64377	SRS256215	PY-93		2010	Peru:Cajamarca:Chota	black rat		missing		KEEP: Assembly Modern
SAMN02141495	SAMN00704295	PRJNA64375	SRS256209	PY-92		2010	Peru:Cajamarca:Chota	black rat		missing		KEEP: Assembly Modern
SAMN02141494	SAMN00704294	PRJNA64373	SRS256208	PY-91		2010	Peru:Cajamarca:Chota	black rat		missing		KEEP: Assembly Modern
SAMN02141493	SAMN00704293	PRJNA64371	SRS256207	PY-90		2010	Peru:La Libertad:Pacasmayo, Guadalupe, Mariscal Castilla	Norway rat		missing		KEEP: Assembly Modern
SAMN02141492	SAMN00704292	PRJNA64369	SRS256206	PY-89		2010	Peru:La Libertad:Pacasmayo, Guadalupe, Mariscal Castilla	Norway rat		missing		KEEP: Assembly Modern
SAMN02141491	SAMN00704291	PRJNA64367	SRS256205	PY-88		2010	Peru:La Libertad:Pacasmayo, Guadalupe, Mariscal Castilla	black rat		missing		KEEP: Assembly Modern
SAMN02141490	SAMN00704290	PRJNA64365	SRS256204	PY-76		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	cotton rat		missing		KEEP: Assembly Modern
SAMN02141489	SAMN00704289	PRJNA64363	SRS256203	PY-72		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	black rat		missing		KEEP: Assembly Modern
SAMN02141488	SAMN00704288	PRJNA64361	SRS256202	PY-71		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	black rat		missing		KEEP: Assembly Modern
SAMN02141487	SAMN00704284	PRJNA64359	SRS256198	PY-66		2010	Peru:La Libertad:Trujillo, Salaverry, ENAPU	Norway rat		missing		KEEP: Assembly Modern
SAMN02141486	SAMN00704287	PRJNA64357	SRS256201	PY-65		2010	Peru:La Libertad:Trujillo, Salaverry, ENAPU	Norway rat		missing		KEEP: Assembly Modern
SAMN02141485	SAMN00704283	PRJNA64355	SRS256197	PY-64		2010	Peru:La Libertad:Trujillo, Salaverry, ENAPU	Norway rat		missing		KEEP: Assembly Modern
SAMN02141484	SAMN00704282	PRJNA64353	SRS256196	PY-63		2010	Peru:La Libertad:Trujillo, Salaverry, ENAPU	Norway rat		missing		KEEP: Assembly Modern
SAMN02141483	SAMN00704281	PRJNA64351	SRS256195	PY-61		2010	Peru:La Libertad:Trujillo, El Milagro, Sector 9	Norway rat		missing		KEEP: Assembly Modern
SAMN02141482	SAMN00704286	PRJNA64349	SRS256200	PY-60		2010	Peru:La Libertad:Trujillo, El Milagro, Sector 9	Norway rat		missing		KEEP: Assembly Modern
SAMN02141481	SAMN00704280	PRJNA64347	SRS256194	PY-59		2010	Peru:La Libertad:Ascope	black rat		missing		KEEP: Assembly Modern
SAMN02141480	SAMN00704279	PRJNA64345	SRS256193	PY-58		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	Norway rat		missing		KEEP: Assembly Modern
SAMN02141479	SAMN00704285	PRJNA64343	SRS256199	PY-56		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	dog		missing		KEEP: Assembly Modern
SAMN02141478	SAMN00704275	PRJNA64341	SRS256189	PY-55		2010	Peru:La Libertad:Ascope, Chicama, Sector Peaje	dog		missing		KEEP: Assembly Modern
SAMN02141477	SAMN00704271	PRJNA64339	SRS256185	PY-54		2010	Peru:La Libertad:Ascope, Chicama, Sector Peaje	dog		missing		KEEP: Assembly Modern
SAMN02141476	SAMN00704274	PRJNA64337	SRS256188	PY-53		2010	Peru:La Libertad:Ascope, Chicama, Sector Peaje	dog		missing		KEEP: Assembly Modern
SAMN02141475	SAMN00704276	PRJNA64335	SRS256190	PY-52		2010	Peru:La Libertad:Ascope, Chicama, Sector Peaje	dog		missing		KEEP: Assembly Modern
SAMN02141474	SAMN00704278	PRJNA64333	SRS256192	PY-48		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	house mouse		missing		KEEP: Assembly Modern
SAMN02141473	SAMN00704273	PRJNA64331	SRS256187	PY-47		2010	Peru:La Libertad:Ascope:Casa Grande, Mocan	domestic cat		missing		KEEP: Assembly Modern
SAMN02141472	SAMN00704277	PRJNA64329	SRS256191	PY-46		2010	Peru:La Libertad:Ascope, San Antonio	domestic cat		missing		KEEP: Assembly Modern
SAMN02141471	SAMN00704272	PRJNA64327	SRS256186	PY-45		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	house mouse		missing		KEEP: Assembly Modern
SAMN02141470	SAMN00704270	PRJNA64325	SRS256184	PY-42		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	house mouse		missing		KEEP: Assembly Modern
SAMN02141469	SAMN00704268	PRJNA64323	SRS256182	PY-36		2010	Peru:La Libertad:Ascope, Casa Grande, Mocan	house mouse		missing		KEEP: Assembly Modern
SAMN02141468	SAMN00704267	PRJNA64321	SRS256181	PY-34		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	domestic cat		missing		KEEP: Assembly Modern
SAMN02141466	SAMN00704266	PRJNA64317	SRS256180	PY-29		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	house mouse		missing		KEEP: Assembly Modern
SAMN02141465	SAMN00704265	PRJNA64315	SRS256179	PY-25		2010	Peru:La Libertad:Ascope, Chicama, La Libertad, AA.HH.	house mouse		missing		KEEP: Assembly Modern
SAMN02141464	SAMN00704252	PRJNA64313	SRS256166	PY-19		2010	Peru:La Libertad:Ascope, Casa Grande, Toma Jauregui	rodent		missing		KEEP: Assembly Modern
SAMN02141461	SAMN00704249	PRJNA64307	SRS256163	PY-14		2009	Peru:La Libertad:Ascope, Casa Grande, Toma Jauregui	black rat		missing		KEEP: Assembly Modern
SAMN02141454	SAMN00704241	PRJNA64293	SRS256155	PY-07		2006	Peru:Cajamarca:Chota, San Juan de Licupis, Pay Pay	black rat		missing		KEEP: Assembly Modern
SAMN02141453	SAMN00704240	PRJNA64291	SRS256154	PY-06		2006	Peru:Cajamarca:Chota, San Juan de Licupis, Pay Pay	guinea pig		missing		KEEP: Assembly Modern
SAMN02141452	SAMN00704239	PRJNA64289	SRS256153	PY-05		2006	Peru:Cajamarca:Chota, San Juan de Licupis, Pay Pay	black rat		missing		KEEP: Assembly Modern
SAMN02141451	SAMN00704077	PRJNA64287	SRS255995	PY-04		2006	Peru:Cajamarca:Chota, San Juan de Licupis, Pay Pay	black rat		missing		KEEP: Assembly Modern
SAMN02141450	SAMN00704075	PRJNA64285	SRS255993	PY-03		2006	Peru:Cajamarca:Jaen, Santo Domingo de la Capilla, Chamana	black rat		missing		KEEP: Assembly Modern
SAMN02141449	SAMN00710637	PRJNA64283	SRS258342	PY-02		2006	Peru:Cajamarca:Jaen, Santo Domingo de la Capilla, Chamana	black rat		missing		KEEP: Assembly Modern
SAMN02141448	SAMN00739929	PRJNA64281	SRS267443	PY-01		2006	Peru:Cajamarca:Chota, San Juan de Licupis, Los Porongos	house mouse		missing		KEEP: Assembly Modern
SAMN00004706			SRS006933	KIM D27								KEEP: EAGER Modern
SAMN02442728			SRS514508	Justinian								REMOVE: Low Coverage Ancient
SAMN02442727			SRS514507	Justinian								REMOVE: Low Coverage Ancient
SAMN02442726			SRS514506	Justinian								REMOVE: Low Coverage Ancient
SAMN02442725			SRS514505	Justinian								REMOVE: Low Coverage Ancient
SAMN02442724			SRS514444	Justinian								REMOVE: Low Coverage Ancient
SAMN02442723			SRS514443	Justinian								REMOVE: Low Coverage Ancient
SAMN02442722			SRS514442	Justinian								REMOVE: Low Coverage Ancient
SAMN02442721			SRS514441	Justinian								REMOVE: Low Coverage Ancient
SAMN02442720			SRS514440	Justinian								REMOVE: Low Coverage Ancient
SAMN02442719			SRS514439	Justinian								REMOVE: Low Coverage Ancient
SAMN02442718			SRS514438	Justinian								REMOVE: Low Coverage Ancient
SAMN02442717			SRS514437	Justinian								REMOVE: Low Coverage Ancient
SAMN02442716			SRS514436	Justinian								REMOVE: Low Coverage Ancient
SAMN02442715			SRS514435	Justinian								REMOVE: Low Coverage Ancient
SAMN02442714			SRS514432	Justinian								REMOVE: Low Coverage Ancient
SAMN02442713			SRS514431	Justinian								REMOVE: Low Coverage Ancient
SAMN02442712			SRS514430	Justinian								REMOVE: Low Coverage Ancient
SAMN02442711			SRS514429	Justinian								REMOVE: Low Coverage Ancient
SAMN02442710			SRS514427	Justinian								REMOVE: Low Coverage Ancient
SAMN02442709			SRS514426	Justinian								REMOVE: Low Coverage Ancient
SAMN02442708			SRS514425	Justinian								REMOVE: Low Coverage Ancient
SAMN02442707			SRS514424	Justinian								REMOVE: Low Coverage Ancient
SAMN02442706			SRS514423	Justinian								REMOVE: Low Coverage Ancient
SAMN02442705			SRS514404	Justinian								REMOVE: Low Coverage Ancient
SAMN02442704			SRS514403	Justinian								REMOVE: Low Coverage Ancient
SAMN02442703			SRS514402	Justinian								REMOVE: Low Coverage Ancient
SAMN02442702			SRS514401	Justinian								REMOVE: Low Coverage Ancient
SAMN02442701			SRS514400	Justinian								REMOVE: Low Coverage Ancient
SAMN02442700			SRS514399	Justinian								REMOVE: Low Coverage Ancient
SAMN02442699			SRS514398	Justinian								REMOVE: Low Coverage Ancient
SAMN02442698			SRS514397	Justinian								REMOVE: Low Coverage Ancient
SAMN02442697			SRS514395	Justinian								REMOVE: Low Coverage Ancient
SAMN02442696			SRS514393	Justinian								REMOVE: Low Coverage Ancient
SAMN02442695			SRS514392	Justinian								REMOVE: Low Coverage Ancient
SAMN02442694			SRS514391	Justinian								REMOVE: Low Coverage Ancient
SAMN02442693			SRS514389	Justinian								REMOVE: Low Coverage Ancient
SAMN02442692			SRS514388	Justinian								REMOVE: Low Coverage Ancient
SAMN01902218			SRS388210	G1670								KEEP: EAGER Modern
SAMN01909378			SRS391123	G1670A		1950-2000	Georgia					KEEP: Assembly Modern
SAMN00739929			SRS267443	PY-01								REMOVE: Duplicate Record
SAMN00710637			SRS258342	PY-02								REMOVE: Duplicate Record
SAMN00706783			SRS256247	PY-99								REMOVE: Duplicate Record
SAMN00706755			SRS256219	PY-98								REMOVE: Duplicate Record
SAMN00706754			SRS256218	PY-96								REMOVE: Duplicate Record
SAMN00706753			SRS256217	PY-95								REMOVE: Duplicate Record
SAMN00706752			SRS256216	PY-94								REMOVE: Duplicate Record
SAMN00706751			SRS256215	PY-93								REMOVE: Duplicate Record
SAMN00704295			SRS256209	PY-92								REMOVE: Duplicate Record
SAMN00704294			SRS256208	PY-91								REMOVE: Duplicate Record
SAMN00704293			SRS256207	PY-90								REMOVE: Duplicate Record
SAMN00704292			SRS256206	PY-89								REMOVE: Duplicate Record
SAMN00704291			SRS256205	PY-88								REMOVE: Duplicate Record
SAMN00704290			SRS256204	PY-76								REMOVE: Duplicate Record
SAMN00704289			SRS256203	PY-72								REMOVE: Duplicate Record
SAMN00704288			SRS256202	PY-71								REMOVE: Duplicate Record
SAMN00704287			SRS256201	PY-65								REMOVE: Duplicate Record
SAMN00704286			SRS256200	PY-60								REMOVE: Duplicate Record
SAMN00704285			SRS256199	PY-56								REMOVE: Duplicate Record
SAMN00704284			SRS256198	PY-66								REMOVE: Duplicate Record
SAMN00704283			SRS256197	PY-64								REMOVE: Duplicate Record
SAMN00704282			SRS256196	PY-63								REMOVE: Duplicate Record
SAMN00704281			SRS256195	PY-61								REMOVE: Duplicate Record
SAMN00704280			SRS256194	PY-59								REMOVE: Duplicate Record
SAMN00704279			SRS256193	PY-58								REMOVE: Duplicate Record
SAMN00704278			SRS256192	PY-48								REMOVE: Duplicate Record
SAMN00704277			SRS256191	PY-46								REMOVE: Duplicate Record
SAMN00704276			SRS256190	PY-52								REMOVE: Duplicate Record
SAMN00704275			SRS256189	PY-55								REMOVE: Duplicate Record
SAMN00704274			SRS256188	PY-53								REMOVE: Duplicate Record
SAMN00704273			SRS256187	PY-47								REMOVE: Duplicate Record
SAMN00704272			SRS256186	PY-45								REMOVE: Duplicate Record
SAMN00704271			SRS256185	PY-54								REMOVE: Duplicate Record
SAMN00704270			SRS256184	PY-42								REMOVE: Duplicate Record
SAMN00704269			SRS256183	PY-32								REMOVE: Duplicate Record
SAMN00704268			SRS256182	PY-36								REMOVE: Duplicate Record
SAMN00704267			SRS256181	PY-34								REMOVE: Duplicate Record
SAMN00704266			SRS256180	PY-29								REMOVE: Duplicate Record
SAMN00704265			SRS256179	PY-25								REMOVE: Duplicate Record
SAMN00704257			SRS256171	PY-113								REMOVE: Duplicate Record
SAMN00704256			SRS256170	PY-102								REMOVE: Duplicate Record
SAMN00704255			SRS256169	PY-103								REMOVE: Duplicate Record
SAMN00704254			SRS256168	PY-101								REMOVE: Duplicate Record
SAMN00704253			SRS256167	PY-100								REMOVE: Duplicate Record
SAMN00704252			SRS256166	PY-19								REMOVE: Duplicate Record
SAMN00704251			SRS256165	PY-16								REMOVE: Duplicate Record
SAMN00704250			SRS256164	PY-15								REMOVE: Duplicate Record
SAMN00704249			SRS256163	PY-14								REMOVE: Duplicate Record
SAMN00704248			SRS256162	PY-13								REMOVE: Duplicate Record
SAMN00704247			SRS256161	PY-12								REMOVE: Duplicate Record
SAMN00704246			SRS256160	PY-11								REMOVE: Duplicate Record
SAMN00704244			SRS256158	PY-10								REMOVE: Duplicate Record
SAMN00704243			SRS256157	PY-09								REMOVE: Duplicate Record
SAMN00704242			SRS256156	PY-08								REMOVE: Duplicate Record
SAMN00704241			SRS256155	PY-07								REMOVE: Duplicate Record
SAMN00704240			SRS256154	PY-06								REMOVE: Duplicate Record
SAMN00704239			SRS256153	PY-05								REMOVE: Duplicate Record
SAMN00704077			SRS255995	PY-04								REMOVE: Duplicate Record
SAMN00704075			SRS255993	PY-03								REMOVE: Duplicate Record
SAMN00115251			SRS116784									REMOVE: Duplicate Record
SAMN00115250			SRS116783									REMOVE: Duplicate Record
SAMN00115249			SRS116782									REMOVE: Duplicate Record
SAMN00115248			SRS116781									REMOVE: Duplicate Record
SAMN00115247			SRS116780									REMOVE: Duplicate Record
SAMN00115246			SRS116779									REMOVE: Duplicate Record
SAMN00115245			SRS116778									REMOVE: Duplicate Record
SAMN00115244			SRS116777									REMOVE: Duplicate Record
SAMN00115243			SRS116776									REMOVE: Duplicate Record
SAMN00115242			SRS116775									REMOVE: Duplicate Record
SAMN00115241			SRS116774									REMOVE: Duplicate Record
SAMN00115240			SRS116773									REMOVE: Duplicate Record
SAMN00115239			SRS116772									REMOVE: Duplicate Record
SAMN00115238			SRS116771									REMOVE: Duplicate Record
SAMN00115237			SRS116770									REMOVE: Duplicate Record
SAMN00115236			SRS116769									REMOVE: Duplicate Record
SAMN00115235			SRS116768									REMOVE: Duplicate Record
SAMN00115234			SRS116767									REMOVE: Duplicate Record
SAMN00115233			SRS116766									REMOVE: Duplicate Record
SAMN00115232			SRS116765									KEEP: EAGER Modern
SAMN00115231			SRS116764									REMOVE: Duplicate Record
SAMN00115230			SRS116763									REMOVE: Duplicate Record
SAMN00115229			SRS116762									REMOVE: Duplicate Record
SAMN00115228			SRS116761									REMOVE: Duplicate Record
SAMN00115227			SRS116760									REMOVE: Duplicate Record
SAMN00115226			SRS116759									REMOVE: Duplicate Record
SAMN00115225			SRS116758									REMOVE: Duplicate Record
SAMN00115224			SRS116757									REMOVE: Duplicate Record
SAMN00115223			SRS116756									REMOVE: Duplicate Record
SAMN00115222			SRS116755									REMOVE: Duplicate Record
SAMN00115221			SRS116754									REMOVE: Duplicate Record
SAMN00115220			SRS116753									REMOVE: Duplicate Record
SAMN00115219			SRS116752									REMOVE: Duplicate Record
SAMN00115218			SRS116751									REMOVE: Duplicate Record
SAMN00115217			SRS116750									REMOVE: Duplicate Record
SAMN00115216			SRS116749									REMOVE: Duplicate Record
SAMN00115215			SRS116748									REMOVE: Duplicate Record
SAMN00115214			SRS116747									REMOVE: Duplicate Record
SAMN00115213			SRS116746									REMOVE: Duplicate Record
SAMN00115212			SRS116745									REMOVE: Duplicate Record
SAMN00115211			SRS116744									REMOVE: Duplicate Record
SAMN00115210			SRS116743									REMOVE: Duplicate Record
SAMN00115209			SRS116742									REMOVE: Duplicate Record
SAMN00115208			SRS116741									REMOVE: Duplicate Record
SAMN00115207			SRS116740									REMOVE: Duplicate Record
SAMN00115206			SRS116739									REMOVE: Duplicate Record
SAMN00115205			SRS116738									REMOVE: Duplicate Record
SAMN00115204			SRS116737									REMOVE: Duplicate Record
SAMN00115203			SRS116736									REMOVE: Duplicate Record
SAMN00115202			SRS116735									REMOVE: Duplicate Record
SAMN00115201			SRS116734									REMOVE: Duplicate Record
SAMN00115200			SRS116733									REMOVE: Duplicate Record
SAMN00115199			SRS116732									REMOVE: Duplicate Record
SAMN00115198			SRS116731									REMOVE: Duplicate Record
SAMN00115197			SRS116730									REMOVE: Duplicate Record
SAMN00115196			SRS116729									REMOVE: Duplicate Record
SAMN00115195			SRS116728									REMOVE: Duplicate Record
SAMN00115194			SRS116727									REMOVE: Duplicate Record
SAMN00115193			SRS116726									REMOVE: Duplicate Record
SAMN00115192			SRS116725									REMOVE: Duplicate Record
SAMN00115191			SRS116724									REMOVE: Duplicate Record
SAMN00115190			SRS116723									REMOVE: Duplicate Record
SAMN00115189			SRS116722									REMOVE: Duplicate Record
SAMN00115188			SRS116721									REMOVE: Duplicate Record
SAMN00115187			SRS116720									REMOVE: Duplicate Record
SAMN00115186			SRS116719									REMOVE: Duplicate Record
SAMN00115185			SRS116718									REMOVE: Duplicate Record
SAMN00115184			SRS116717									REMOVE: Duplicate Record
SAMN00115183			SRS116716									REMOVE: Duplicate Record
SAMN00115182			SRS116715									REMOVE: Duplicate Record
SAMN00115181			SRS116714									REMOVE: Duplicate Record
SAMN00115180			SRS116713									REMOVE: Duplicate Record
SAMN00115179			SRS116712									REMOVE: Duplicate Record
SAMN00115178			SRS116711									REMOVE: Duplicate Record
SAMN00115177			SRS116710									REMOVE: Duplicate Record
SAMN00115176			SRS116709									REMOVE: Duplicate Record
SAMN00115175			SRS116708									REMOVE: Duplicate Record
SAMN00115174			SRS116707									REMOVE: Duplicate Record
SAMN00115173			SRS116706									REMOVE: Duplicate Record
SAMN00115172			SRS116705									REMOVE: Duplicate Record
SAMN00115171			SRS116704									REMOVE: Duplicate Record
SAMN00115170			SRS116703									REMOVE: Duplicate Record
SAMN00115169			SRS116702									REMOVE: Duplicate Record
SAMN00115168			SRS116701									REMOVE: Duplicate Record
SAMN00115167			SRS116700									REMOVE: Duplicate Record
SAMN00115166			SRS116699									REMOVE: Duplicate Record
SAMN00115165			SRS116698									REMOVE: Duplicate Record
SAMN00115164			SRS116697									REMOVE: Duplicate Record
SAMN00115163			SRS116696									REMOVE: Duplicate Record
SAMN00115162			SRS116695									REMOVE: Duplicate Record
SAMN00115161			SRS116694									REMOVE: Duplicate Record
SAMN00115160			SRS116693									REMOVE: Duplicate Record
SAMN00115159			SRS116692									REMOVE: Duplicate Record
SAMN00115158			SRS116691									REMOVE: Duplicate Record
SAMN00115157			SRS116690									REMOVE: Duplicate Record
SAMN00115156			SRS116689									REMOVE: Duplicate Record
SAMN00115155			SRS116688									REMOVE: Duplicate Record
SAMN00115154			SRS116687									REMOVE: Duplicate Record
SAMN00115153			SRS116686									REMOVE: Duplicate Record
SAMN00115152			SRS116685									REMOVE: Duplicate Record
SAMN00115151			SRS116684									REMOVE: Duplicate Record
SAMN00115150			SRS116683									REMOVE: Duplicate Record
SAMN00115149			SRS116682									REMOVE: Duplicate Record
SAMN00115148			SRS116681									REMOVE: Duplicate Record
SAMN00115147			SRS116680									REMOVE: Duplicate Record
SAMN00115146			SRS116679									REMOVE: Duplicate Record
SAMN00115145			SRS116678									REMOVE: Duplicate Record
SAMN00115144			SRS116677									REMOVE: Duplicate Record
SAMN00115143			SRS116676									REMOVE: Duplicate Record
SAMN00115142			SRS116675									REMOVE: Duplicate Record
SAMN00115141			SRS116674									REMOVE: Duplicate Record
SAMN00115140			SRS116673									REMOVE: Duplicate Record
SAMN00115139			SRS116672									REMOVE: Duplicate Record
SAMN00115138			SRS116671									REMOVE: Duplicate Record
SAMN00115137			SRS116670									REMOVE: Duplicate Record
SAMN00115136			SRS116669									REMOVE: Duplicate Record
SAMN00115135			SRS116668									REMOVE: Duplicate Record
SAMN00115134			SRS116667									REMOVE: Duplicate Record
SAMN01902220			SRS388212	G3768		1950-2000	Georgia:Samtskhe-Javakheti:Ninotsminda					KEEP: Assembly Modern
SAMEA3541828			ERS848977									REMOVE: Low Coverage Ancient
SAMEA3541827			ERS848976									KEEP: EAGER Ancient
SAMEA3541826			ERS848975									KEEP: EAGER Ancient
